A01,,A02,,A03,,A04,,A05,,A06,,A07,,A08,,A09,,A10,
40.27108475,8703.189578,40.67552344,8697.877834,40.5502125,9082.640123,39.86257961,9089.691533,40.11120075,7777.210001,38.88809999,6351.173922,40.1801683,6977.122214,40.17060636,6714.250453,40.21496472,6846.989338,39.88732788,6903.070233
40.87454312,9023.316528,40.81338106,9005.782801,39.67414017,9554.756201,39.7899445,9526.160534,39.83882059,8147.99292,39.47519987,6693.406278,41.06407731,7167.961273,39.99076103,6984.256207,40.41379364,7115.795208,40.813491,7109.410272
40.44983891,9092.585313,40.64328554,9099.503872,40.35472729,9841.044002,40.48769538,9779.810015,39.91007817,8412.254181,40.10155197,6934.065446,40.04334079,7337.537503,40.52392497,7302.202671,39.94342466,7356.310235,40.24006265,7292.308869
41.25443004,9371.192527,41.17413067,9432.430681,40.67715165,10263.93677,40.72367511,10388.43488,40.40029201,8839.722201,40.45210252,7262.235585,40.97759792,7922.120226,40.57171296,7644.897374,41.20378921,7853.41789,40.84251866,7847.230046
41.5632853,9471.65719,41.67714714,9559.847381,40.35209839,10513.05476,39.97725253,10507.861,41.14443879,9408.813593,41.20943204,7515.982011,40.93154964,8251.821928,41.21201436,8030.368235,41.42210967,8226.103601,40.65814682,8169.034039
41.36702131,9736.745863,41.04657762,9822.202297,41.05963049,10805.28393,41.01708311,10727.86019,41.4231365,9889.131433,41.35411685,7469.732758,41.74909981,8769.198707,41.51755423,8434.108414,42.00699203,8580.488267,41.92369292,8668.351041
41.69066192,9706.498364,41.84527573,9829.839697,41.58465669,10989.68786,41.77549991,10999.51769,40.75239053,10378.85254,41.12270447,7807.636185,41.38476528,9051.536532,42.35145752,8859.790863,41.52699325,8939.784401,40.90952373,8998.547806
42.53693055,9739.270065,42.39523722,9699.035382,42.19048014,11134.56818,42.13448165,11110.99279,41.88909867,10930.09888,41.80019516,8028.131345,43.11361865,9617.755553,41.88517724,9123.188507,42.5161223,9446.814597,42.95403543,9624.817233
42.22315941,9871.937892,42.82449976,9895.961724,43.01058534,11429.50706,42.65321159,11355.1154,42.30271993,11281.5555,42.68978649,8204.6874,42.07344494,9689.758806,42.93711644,9427.332137,42.80931491,9735.365953,42.20729277,9682.83388
43.38083316,9970.639389,43.29682324,10005.63449,42.2681118,11627.01438,41.4881975,11622.38235,42.81688962,11639.11106,42.31578571,8375.490678,41.71736201,10238.04898,43.07054477,9802.770771,42.45334798,10302.40025,42.73057252,10257.23145
